Time;Ecg 1;Ecg 2
18:42:59.540;1494.0;1928.0
18:42:59.580;919.0;833.0
18:42:59.620;425.0;2.0
18:42:59.660;24.0;-419.0
18:42:59.700;-274.0;-697.0
18:42:59.740;-493.0;-927.0
18:42:59.780;-683.0;-1165.0
18:42:59.820;-712.0;-1259.0
18:42:59.860;-693.0;-1226.0
18:42:59.900;-577.0;-876.0
18:42:59.940;-462.0;-536.0
18:42:59.980;-571.0;-821.0
18:43:00.020;-566.0;-1019.0
18:43:00.060;-1624.0;7014.0
18:43:00.100;-909.0;2768.0
18:43:00.140;-222.0;712.0
18:43:00.180;303.0;88.0
18:43:00.220;982.0;373.0
18:43:00.260;1479.0;1055.0
18:43:00.300;1499.0;1342.0
18:43:00.340;1079.0;555.0
18:43:00.380;686.0;-180.0
18:43:00.420;431.0;-441.0
18:43:00.460;285.0;-532.0
18:43:00.500;160.0;-653.0
18:43:00.540;-54.0;-820.0
18:43:00.580;-296.0;-1020.0
18:43:00.620;-509.0;-1255.0
18:43:00.660;-691.0;-1318.0
18:43:00.700;-494.0;-841.0
18:43:00.740;-684.0;-936.0
18:43:00.780;-836.0;-1188.0
18:43:00.820;814.0;-1475.0
18:43:00.860;-997.0;-922.0
18:43:00.900;-723.0;-725.0
18:43:00.940;-524.0;-433.0
18:43:00.980;-74.0;128.0
18:43:01.020;515.0;968.0
18:43:01.060;846.0;1684.0
18:43:01.100;560.0;1362.0
18:43:01.140;99.0;442.0
18:43:01.180;-174.0;7.0
18:43:01.220;-178.0;-123.0
18:43:01.260;-64.0;-123.0
18:43:01.300;17.0;-162.0
18:43:01.340;61.0;-246.0
18:43:01.380;33.0;-367.0
18:43:01.420;-2.0;-424.0
18:43:01.460;19.0;-218.0
18:43:01.500;-34.0;-220.0
18:43:01.540;-364.0;-787.0
18:43:01.580;-350.0;-1227.0
18:43:01.620;-1969.0;1837.0
18:43:01.660;-1236.0;272.0
18:43:01.700;-708.0;-478.0
18:43:00.702;-714.0;-709.0
18:43:00.742;-763.0;-780.0
18:43:00.782;-752.0;-753.0
18:43:00.822;-571.0;-402.0
18:43:00.862;-397.0;-97.0
18:43:00.902;-498.0;-335.0
18:43:00.942;-457.0;-519.0
18:43:00.982;-1641.0;6924.0
18:43:01.022;-685.0;3126.0
18:43:01.062;52.0;1283.0
18:43:01.102;512.0;679.0
18:43:01.142;1068.0;844.0
18:43:01.182;1474.0;1390.0
18:43:01.222;1269.0;1473.0
18:43:01.262;551.0;322.0
18:43:01.302;-84.0;-589.0
18:43:01.342;-338.0;-850.0
18:43:01.382;-521.0;-1051.0
18:43:01.422;-724.0;-1285.0
18:43:01.462;-833.0;-1443.0
18:43:01.502;-855.0;-1485.0
18:43:01.542;-845.0;-1446.0
18:43:01.582;-716.0;-1290.0
18:43:01.622;-452.0;-676.0
18:43:01.662;-577.0;-922.0
18:43:01.702;-573.0;-1104.0
18:43:01.742;914.0;3106.0
18:43:01.782;-7.0;770.0
18:43:01.822;-32.0;-112.0
18:43:01.862;108.0;-283.0
18:43:01.902;476.0;74.0
18:43:01.942;1062.0;867.0
18:43:01.982;1170.0;1354.0
